CourseId,CourseType,CourseName,Semester,NormalizedDegree,NormalizedBranch
SHSA1101,THEORY,Technical English,1,B.E,ECE
SMTA1101,THEORY,Engineering Mathematics - I,1,B.E,ECE
SCYA1101,THEORY,Engineering Chemistry,2,B.E,ECE
SCYA2101,PRACTICAL,Engineering Chemistry Lab,2,B.E,ECE
SBTA1101,THEORY,Environmental Science and Engineering,3,B.E,ECE
SEEA1103,THEORY,Electrical and Electronics Engineering,3,B.E,ECE
SECA1302,THEORY,Electronic Circuits - I,4,B.E,ECE
SECA2302,PRACTICAL,Electronic Circuits - I Lab,4,B.E,ECE
SMTA1201,THEORY,Engineering Mathematics - II,5,B.E,ECE
SMEA1102,THEORY,Engineering Drawing,5,B.E,ECE
SPHA1101,THEORY,Physics for Engineers,6,B.E,ECE
SPHA2101,PRACTICAL,Physics Lab,6,B.E,ECE
SCSA1202,THEORY,Programming with C and C++,7,B.E,ECE
SCSA1203,THEORY,Data Structures,7,B.E,ECE
SCSA1201,THEORY,Fundamentals of Digital Systems,8,B.E,ECE
SEIA2202,PRACTICAL,Digital Systems Lab,8,B.E,ECE
